Player_id,Roll_id
1,1
2,3
3,2
4,1
4,7
5,1
6,2
7,2
8,4
9,1
10,3
11,2
12,3
13,1
14,1
15,1
16,2
17,2
18,2
19,1
20,1
21,1
22,2
23,1
24,2
25,3
26,2
27,1
27,7
28,1
29,1
30,3
31,1
32,1
33,3
34,2
35,2
36,3
37,3
38,2
39,2
40,1
41,2
42,1
43,2
44,1
45,2
46,2
47,2
48,3
49,2
50,2
51,2
52,2
53,3
54,2
55,2
56,1
57,1
58,1
58,7
58,4
59,1
60,1
61,1
62,3
63,3
64,3
65,2
66,1
67,2
68,1
69,2
70,2
71,3
72,2
73,2
74,2
75,2
76,1
77,2
78,2
79,2
80,1
80,7
81,1
82,1
83,3
84,2
85,4
86,2
87,3
88,3
89,2
90,1
91,2
92,2
93,1
94,2
95,2
96,2
97,1
98,2
99,2
100,2
101,1
102,2
103,1
104,1
105,2
106,1
107,2
108,1
108,7
108,4
109,3
110,4
111,2
112,1
113,2
114,2
115,2
116,1
117,1
118,2
119,2
120,2
121,2
122,2
123,1
124,2
125,2
126,2
127,2
128,2
129,1
129,7
130,1
131,1
132,2
133,3
134,2
135,1
136,4
137,2
138,1
139,2
140,2
141,1
142,2
143,2
144,1
145,2
146,2
147,1
148,2
149,2
150,1
151,3
152,2
153,2
154,1
155,1
156,1
157,2
158,4
159,3
160,3
161,4
161,7
161,1
162,3
163,2
164,2
165,1
166,1
167,2
168,1
169,2
170,2
171,1
172,3
173,2
174,2
175,1
176,2
177,2
178,1
178,7
179,1
180,2
181,1
182,2
183,2
184,3
185,4
186,3
187,3
188,2
189,2
190,3
191,2
192,3
193,2
194,1
195,2
196,2
197,2
198,2
199,1
200,1
201,2
202,2
